text,y_true,y_pred,proba,conf
"@user spread the word &amp; join millions for national day of healing jan. 17, 2017  #trht @user #â¦",1,0,0.001015201,0.998984799
a message of #hope for #newyear. building a business to end  #storytelling #endof2016 #tedtalks #tedatibm ,1,0,0.0011254428,0.9988745572
@user there's never any room for  in a school board. ever. kids at these schools are 100% of our future.,1,0,0.0011811577,0.9988188423
just pre-ordered this. it sounds a really great book ,1,0,0.0012145173,0.9987854827
"holiday fun, socially relevant! #podcast celebrates '70 bewitched xmas ep   ",1,0,0.0012803882,0.9987196118
retweet if you agree! ,1,0,0.0013309739,0.9986690261
the everyday response to   @user,1,0,0.0013469415,0.9986530585
"y'all,  is global. we just may have to lose before folks understand.",1,0,0.0013730852,0.9986269148
"#cpcldr ~ before #elxn42, @user enabled @user mp's to make  statements. great alt-right work, #cpc. #cdnpoli ",1,0,0.001437043,0.998562957
"@user no, we're not ",1,0,0.0014466288,0.9985533712
.@user ends 2016 with a hopeful message against  in the music industry  viaâ¦ ,1,0,0.0014469698,0.9985530302
@user @user you go girl!! #maga ,1,0,0.0014485513,0.9985514487
bout to spend new year's eve playing  the game lol ,1,0,0.0014554454,0.9985445546
"@user ""tackling systemic racism and our biases through empathy"" read:    #sdgs  #edchat ",1,0,0.0015269688,0.9984730312
"""the education of public servants is a critical pa of the path forward..."" so true. ",1,0,0.0015442683,0.9984557317
this is sooooo  or may be just funny ,1,0,0.001555902,0.998444098
"2016 is almost over, so ... #bunch #darkest #moviefone #postholiday  #nowthattheholidaysaredone #news ",1,0,0.0015698129,0.9984301871
@user just pre-ordered this. it sounds a really great book ,1,0,0.0015961996,0.9984038004
"that is why  is systemic, rather than just humanity being human. it is power and reinforced each minute!",1,0,0.0016343351,0.9983656649
"@user birmingham friends, don't miss this special lecture on bonhoeffer and racism, from bonhoeffer expe @user ",1,0,0.0017147437,0.9982852563
jeff sessions omits decades of records for his ag confirmation hearing @user you can't hide   ,1,0,0.0017655183,0.9982344817
"@user @user @user @user @user i'm mixed w/ native american, spanish, irish and u call me  ð",1,0,0.0018611364,0.9981388636
great aicle of truth about #trc needs. comments back up why it's needed.  #indignenous - via @user ,1,0,0.0018625659,0.9981374341
"it's time to end  now. ""days of our lives (live)"" shyan selah #cafenoirproject ",1,0,0.0019156075,0.9980843925
work out the idea of creating a substantive argument and making a point rather than calling names.â¦ ,1,0,0.001944532,0.998055468
will the alt-right promote a new kind of  genetics?  mt @user  ,1,0,0.0019471489,0.9980528511
@user @user lumpy says i am a . prove it lumpy.,1,0,0.001966901,0.998033099
"@user seriously  lede. come on, @user you can do better. ",1,0,0.0020020497,0.9979979503
surprise! adam saleh is a  ! (@user ) ,1,0,0.0020058958,0.9979941042
  will send you to the #trump inauguration~ join today!! ,1,0,0.0021330952,0.9978669048
"meet the wilmington peacekeepers, they walk in beauty. #cnv week of actions #peace #povey  #climateâ¦ ",1,0,0.00218467,0.99781533
@user from emojis to the inexistence reverse   via .@user .@user,1,0,0.0022666266,0.9977333734
"let me tell you a story about  and #videogames. specifically, #marvel super heroes vs. #streetfighter. ",1,0,0.0022992515,0.9977007485
expes explain the best way to deal with  friends &amp; family.   ,1,0,0.0023152363,0.9976847637
the latest the african american turmoil!  thanks to @user @user @user  #blm,1,0,0.0023444917,0.9976555083
"iâve had my id checked by the police zero times in 8 months. of course the discrepancy has ""nothing"" to do i'm a whâ¦ ",1,0,0.0023539225,0.9976460775
"last  retro #christmasadve for you this year, and whilst i do love a good bit of #tupperwear i do not wantâ¦ ",1,0,0.0023901616,0.9976098384
@user @user @user is this the kind of tweet you want a company rep sending out?  ,1,0,0.0024089483,0.9975910517
racism at home and anti- advice for others: we're good at both. ,1,0,0.0024386111,0.9975613889
i'm trying so hard to make your handwritten indirect pretty and you tweet shit like this. shut up ,1,0,0.002494959,0.997505041
@user what you should know about #environmental . @user  ,1,0,0.0024998747,0.9975001253
@user #freedownload a peek of #nyc  here:  then come back to holier than moi??,1,0,0.0025130939,0.9974869061
 names for women fucking hard teen ,1,0,0.0025226034,0.9974773966
incredible content! @user @user @user #beforesex  @user @user ,1,0,0.0025684263,0.9974315737
#2016highlights #samwu fights against  in various municipalities such as in naboomspruit area,1,0,0.0025964885,0.9974035115
@user #allahsoil we think of cultures as separate and distinct from one another.  â¦  â¦ ,1,0,0.0025970347,0.9974029653
"president #woodrowwilson held a private screening of d.w. griffith's ""bih of a nation""  #history #13th",1,0,0.0026164714,0.9973835286
paul beloy:  is still an issue at varying levels in belgian football   @user by #adamitv via @user,1,0,0.002623831,0.997376169
.@user my gf used uber without forcing language preferences so you are reading my data and making  #ux choices,1,0,0.0026574754,0.9973425246
7 horribly  ads from #2016 that made us cringe ,1,0,0.0027095375,0.9972904625
